PIMMS_m/z,RT_PIMMS,CCS_PIMMS,DT_PIMMS,PIMMS_Intensity,Compound,Match_ID,Classification Type,Sample,RT,DT,CCS,Peak_mz,Peak_intensity,SourceFile,Peak_mz_1,Intensity_1,Peak_mz_2,Intensity_2,Intensity_3,Kaufman_C,m_over_C,mass_defect,md_over_C
244.9074,6.4,136.7,17.86,2643.999,40,No Match,unmatched,139 3330 - DBS.d.DeMP,6.39,17.8568286895752,136.739929199219,245.91041,186.0,139 3330 - DBS.d.DeMP.cef,244.9076,2644.0,245.91041,186.0,2547.0,6.312064391201388,38.79992104348388,-0.09239999999999782,-0.014638633935483529
244.9074,6.4,136.7,17.86,2643.999,40,No Match,unmatched,139 3330 - DBS.d.DeMP,6.39,17.8568286895752,136.739929199219,246.9046,2547.0,139 3330 - DBS.d.DeMP.cef,244.9076,2644.0,245.91041,186.0,2547.0,6.312064391201388,38.79992104348388,-0.09239999999999782,-0.014638633935483529
244.9074,6.4,136.7,17.86,2643.999,40,No Match,unmatched,139 3330 - DBS.d.DeMP,6.39,17.8568286895752,136.739929199219,247.90703,233.0,139 3330 - DBS.d.DeMP.cef,244.9076,2644.0,245.91041,186.0,2547.0,6.312064391201388,38.79992104348388,-0.09239999999999782,-0.014638633935483529
244.9074,6.4,136.7,17.86,2643.999,40,No Match,unmatched,139 3330 - DBS.d.DeMP,6.39,17.8568286895752,136.739929199219,248.90142,654.0,139 3330 - DBS.d.DeMP.cef,244.9076,2644.0,245.91041,186.0,2547.0,6.312064391201388,38.79992104348388,-0.09239999999999782,-0.014638633935483529
244.9074,6.4,136.7,17.86,2643.999,40,No Match,unmatched,139 3330 - DBS.d.DeMP,6.39,17.8568286895752,136.739929199219,249.90322,56.0,139 3330 - DBS.d.DeMP.cef,244.9076,2644.0,245.91041,186.0,2547.0,6.312064391201388,38.79992104348388,-0.09239999999999782,-0.014638633935483529
244.9074,6.4,136.7,17.86,21952.999,34,No Match,unmatched,35 2286 - Serum.d.DeMP,6.39,17.8568286895752,136.739929199219,244.90798,21953.0,35 2286 - Serum.d.DeMP.cef,244.90798,21953.0,245.90992,1525.0,20872.0,6.232982297901117,39.292263044364795,-0.09201999999999089,-0.014763398258162475
244.9074,6.4,136.7,17.86,21952.999,34,No Match,unmatched,35 2286 - Serum.d.DeMP,6.39,17.8568286895752,136.739929199219,245.90992,1525.0,35 2286 - Serum.d.DeMP.cef,244.90798,21953.0,245.90992,1525.0,20872.0,6.232982297901117,39.292263044364795,-0.09201999999999089,-0.014763398258162475
244.9074,6.4,136.7,17.86,21952.999,34,No Match,unmatched,35 2286 - Serum.d.DeMP,6.39,17.8568286895752,136.739929199219,246.90506,20872.0,35 2286 - Serum.d.DeMP.cef,244.90798,21953.0,245.90992,1525.0,20872.0,6.232982297901117,39.292263044364795,-0.09201999999999089,-0.014763398258162475
244.9074,6.4,136.7,17.86,21952.999,34,No Match,unmatched,35 2286 - Serum.d.DeMP,6.39,17.8568286895752,136.739929199219,247.90729,1540.0,35 2286 - Serum.d.DeMP.cef,244.90798,21953.0,245.90992,1525.0,20872.0,6.232982297901117,39.292263044364795,-0.09201999999999089,-0.014763398258162475
244.9074,6.4,136.7,17.86,21952.999,34,No Match,unmatched,35 2286 - Serum.d.DeMP,6.39,17.8568286895752,136.739929199219,248.90177,6580.0,35 2286 - Serum.d.DeMP.cef,244.90798,21953.0,245.90992,1525.0,20872.0,6.232982297901117,39.292263044364795,-0.09201999999999089,-0.014763398258162475
